timestamp,price,MA_50,MA_200,RSI_14
2025-09-19 00:00:00,4590.6367372135155,,,
2025-09-20 00:00:00,4470.479474009387,,,
2025-09-21 00:00:00,4481.799472368209,,,
2025-09-22 00:00:00,4452.87113037789,,,
2025-09-23 00:00:00,4199.951774017639,,,
2025-09-24 00:00:00,4166.1905498775295,,,
2025-09-25 00:00:00,4148.65682762035,,,
2025-09-26 00:00:00,3863.0632875907245,,,
2025-09-27 00:00:00,4037.0979210260916,,,
2025-09-28 00:00:00,4018.167453105732,,,
2025-09-29 00:00:00,4141.839664086501,,,
2025-09-30 00:00:00,4215.61278947927,,,
2025-10-01 00:00:00,4144.230463371581,,,
2025-10-02 00:00:00,4343.951983440489,,,41.26301947295501
2025-10-03 00:00:00,4484.006245909478,,,46.564256712456846
2025-10-04 00:00:00,4515.759068159723,,,51.54709200287497
2025-10-05 00:00:00,4487.706651673285,,,50.19955204090407
2025-10-06 00:00:00,4515.321391965295,,,52.11152336219938
2025-10-07 00:00:00,4689.131734746596,,,67.4746152816621
2025-10-08 00:00:00,4454.32846286666,,,59.00020679840812
2025-10-09 00:00:00,4527.578004547945,,,61.43778170102709
2025-10-10 00:00:00,4368.649439385323,,,66.52479670907846
2025-10-11 00:00:00,3835.632842050135,,,44.66674317648178
2025-10-12 00:00:00,3749.218185954949,,,43.12588467151795
2025-10-13 00:00:00,4159.729307791921,,,50.39877314578596
2025-10-14 00:00:00,4246.217461554773,,,50.678355073299464
2025-10-15 00:00:00,4128.888447033946,,,49.66673104906438
2025-10-16 00:00:00,3983.1544356894233,,,41.974284951790416
2025-10-17 00:00:00,3890.1993012479857,,,36.50843748097933
2025-10-18 00:00:00,3831.244175835675,,4238.043822799934,34.637408434893544
2025-10-19 00:00:00,3889.4990302043157,,4214.672565899627,36.75397770243804
2025-10-20 00:00:00,3985.0765644046796,,4198.492468912804,38.60192472536924
2025-10-21 00:00:00,3978.7901551344357,,4181.725491671678,33.54551155635653
2025-10-22 00:00:00,3877.4871979550117,,4162.546027257582,35.757031664337845
2025-10-23 00:00:00,3801.7907952382916,,4149.273994631604,32.100988511614446
2025-10-24 00:00:00,3855.8421162401205,,4138.92904684369,36.663516941524634
2025-10-25 00:00:00,3933.232269901015,,4131.748228253045,53.32661772522206
2025-10-26 00:00:00,3952.213557935584,,4134.719903931207,57.252355001488425
2025-10-27 00:00:00,4161.590896249249,,4138.86966977198,50.07767106118706
2025-10-28 00:00:00,4123.206220671679,,4142.370962024178,44.65296948942866
2025-10-29 00:00:00,3982.3127893175442,,4137.053399531879,43.756577634488345
2025-10-30 00:00:00,3897.359267616961,,4126.444948803136,46.14597790219194
2025-10-31 00:00:00,3802.2953645331804,,4115.047112175189,46.05871651085908
2025-11-01 00:00:00,3847.298177365196,,4098.491985306012,50.72892115327236
2025-11-02 00:00:00,3872.2118961957594,,4078.098840315555,49.19058286614276
2025-11-03 00:00:00,3910.0947691627284,,4057.910030348989,46.28869432294808
2025-11-04 00:00:00,3600.71550248779,,4028.343658709472,35.60564096306007
2025-11-05 00:00:00,3296.7437604313104,,3987.724404325006,30.84546553922266
2025-11-06 00:00:00,3427.6905913706814,,3945.6763662124754,38.09502609967933
2025-11-07 00:00:00,3308.918164921951,4072.9136754267106,3907.496022947652,33.283841412891235
2025-11-08 00:00:00,3434.3512285299594,4049.7879652530387,3871.0551304137193,35.18723835460807
2025-11-09 00:00:00,3401.4594003397083,4028.407563779646,3838.8154624455324,33.78100236129953
2025-11-10 00:00:00,3576.2547046627064,4010.2966684255357,3830.1695245326177,32.404216615981454
2025-11-11 00:00:00,3564.6105957999334,3992.5314577339764,3824.0159381941176,32.933690113673194
2025-11-12 00:00:00,3416.781328259322,3976.8680488188097,3799.2510055430307,32.79470297248915
2025-11-13 00:00:00,3409.6144555411624,3961.7365269320826,3771.36423867591,34.42400602757134
2025-11-14 00:00:00,3235.7276362968546,3943.4779431056127,3741.5922116513407,32.774037892320095
2025-11-15 00:00:00,3106.601287865052,3928.3487031110994,3712.373773390528,28.57573908523773
2025-11-16 00:00:00,3170.1129807404664,3911.009004305387,3688.370896040278,30.135705017931414
2025-11-17 00:00:00,3101.686799467,3892.679391232612,3664.0523168279888,27.516515331672196
2025-11-18 00:00:00,3021.3021576301335,3870.268641103485,3635.1124210755156,31.533079460329787
2025-11-19 00:00:00,3117.2225871583155,3848.300837057065,3606.183955167304,43.40352582824138
2025-11-20 00:00:00,3017.7483614097955,3825.77119501783,3574.1492287098154,34.58009569953542
2025-11-21 00:00:00,2832.068358334293,3795.533522515706,3539.3019340557917,32.9229414144758
2025-11-22 00:00:00,2764.735218675169,3761.1481019710195,3504.733414837021,24.978305401577714
2025-11-23 00:00:00,2768.6178294996353,3726.205277197818,3468.4926052790047,25.828427454056722
2025-11-24 00:00:00,2799.8149340924633,3692.4474428462017,3430.7120274187196,16.689655814868374
2025-11-25 00:00:00,2953.327645752226,3661.20756792194,3397.4158303459412,26.620975883247368
2025-11-26 00:00:00,2955.046469321271,3626.5258626134337,3357.197682781675,30.118572676609787
2025-11-27 00:00:00,3027.477249132549,3597.988838338752,3320.6733837303705,34.421454528851655
2025-11-28 00:00:00,3015.6118196920934,3567.7495146416345,3288.4500180761893,39.66072167262761
2025-11-29 00:00:00,3033.135645414151,3541.0392387622105,3259.642564002762,46.14499931152472
2025-11-30 00:00:00,2991.2330117032593,3524.151242155274,3232.607152241764,40.395732560885214
2025-12-01 00:00:00,2992.8341859495977,3509.0235621551665,3204.1250191945783,43.703774503452536
2025-12-02 00:00:00,2799.0367919901605,3481.809711839131,3168.3525157210584,38.63488399256139
2025-12-03 00:00:00,2995.751149322771,3456.800385594491,3137.874395059726,44.369201517444
2025-12-04 00:00:00,3195.4089919085554,3438.1307964919833,3124.364178040418,57.53554221648429
2025-12-05 00:00:00,3133.698235618616,3421.1416724905675,3118.929327213328,64.29730683767698
2025-12-06 00:00:00,3022.6564205232035,3403.7908148760716,3105.4281881850793,61.73908777956231
2025-12-07 00:00:00,3039.358573133242,3387.9531028220226,3096.4428684587892,62.18042087441168
2025-12-08 00:00:00,3052.976330436545,3371.2226488266674,3083.7303718556745,61.57259031696757
2025-12-09 00:00:00,3125.321462183988,3354.027546782254,3074.5257739171507,58.49243247437458
2025-12-10 00:00:00,3322.469217836626,3340.901128036298,3066.0662576896148,65.20715493485284
2025-12-11 00:00:00,3326.260211637518,3329.8765883099472,3058.1212448842007,63.111197785552335
2025-12-12 00:00:00,3236.0986208578574,3318.562744822339,3052.0984879708194,59.0532993525757
2025-12-13 00:00:00,3085.316694358101,3303.152236384699,3041.2885625980502,51.931239116794515
2025-12-14 00:00:00,3115.225428835284,3286.792099563384,3037.2718223493307,54.63010927440836
2025-12-15 00:00:00,3065.4912355563642,3269.057653115799,3035.901487272375,52.61900367745082
2025-12-16 00:00:00,2964.488557692104,3245.1156063446565,3029.0473398374297,56.391466622868336
2025-12-17 00:00:00,2964.2627915054686,3221.936737761332,3024.466539572045,48.56588070108237
2025-12-17 01:53:10,2956.6927677171334,3201.4243373293243,3022.312893241612,36.82205224153327
