timestamp,price,MA_50,MA_200,RSI_14
2026-05-26 00:00:00,2110.5929717502054,,,
2026-05-27 00:00:00,2072.3492159738144,,,
2026-05-28 00:00:00,2022.465974317952,,,
2026-05-29 00:00:00,2008.1144631178963,,,
2026-05-30 00:00:00,2012.5607890669655,,,
2026-05-31 00:00:00,2021.665390940461,,,
2026-06-01 00:00:00,2005.0520566280852,,,
2026-06-02 00:00:00,2003.5794472377934,,,
2026-06-03 00:00:00,1858.3640479335945,,,
2026-06-04 00:00:00,1811.7149905120527,,,
2026-06-05 00:00:00,1769.0317333338,,,
2026-06-06 00:00:00,1582.4588294507628,,,
2026-06-07 00:00:00,1568.7027946407661,,,
2026-06-08 00:00:00,1687.8826846141703,,,19.28745033215138
2026-06-09 00:00:00,1690.4950851700783,,,19.592688164733715
2026-06-10 00:00:00,1638.7504135601862,,,19.21710279225651
2026-06-11 00:00:00,1620.917390707054,,,20.133318595708843
2026-06-12 00:00:00,1671.86904676229,,,26.281833007322362
2026-06-13 00:00:00,1665.5551249935475,,,25.587145349605436
2026-06-14 00:00:00,1680.3055520030994,,,26.17362234330369
2026-06-15 00:00:00,1725.448928079916,,,31.231631699502955
2026-06-16 00:00:00,1794.9576599037732,,,37.168286265504385
2026-06-17 00:00:00,1791.3886783051394,,,45.01128189920374
2026-06-18 00:00:00,1748.7549735206103,,,45.28214793486301
2026-06-19 00:00:00,1710.079110757131,,,45.555747082256055
2026-06-20 00:00:00,1708.87855388619,,,63.227328320155536
2026-06-21 00:00:00,1739.2769352743533,,,67.2465889611909
2026-06-22 00:00:00,1704.9130137257484,,,52.07839212157931
2026-06-23 00:00:00,1725.1620208904676,,,54.05616629586888
2026-06-24 00:00:00,1665.7162407218393,,1793.900137259325,53.09925438415008
2026-06-25 00:00:00,1620.6434082953833,,1777.568485144164,49.97036600048921
2026-06-26 00:00:00,1566.0081297519519,,1760.690448936769,38.640576073830935
2026-06-27 00:00:00,1576.9176481850786,,1745.8388380656727,40.58163014784546
2026-06-28 00:00:00,1571.9371269098212,,1731.2995935254037,38.24092766304937
2026-06-29 00:00:00,1570.0805519413402,,1716.5502522878826,31.39299341449049
2026-06-30 00:00:00,1609.751185572177,,1702.819778775607,26.11234959041424
2026-07-01 00:00:00,1569.8271747749748,,1688.3122827138363,23.87348614517559
2026-07-02 00:00:00,1608.254387223296,,1675.1347807133532,33.2661733446143
2026-07-03 00:00:00,1698.5610521616197,,1669.8080141876205,48.77841965690916
2026-07-04 00:00:00,1756.9804642496356,,1667.9835299788733,54.54942052802987
2026-07-05 00:00:00,1779.908385139636,,1668.346085039068,53.89795518612686
2026-07-06 00:00:00,1784.2622991817525,,1675.0728673634342,58.077425941379985
2026-07-07 00:00:00,1798.557105022033,,1682.7346777094765,57.562993658260176
2026-07-08 00:00:00,1771.2223954004269,,1685.5126680690184,61.64234081967071
2026-07-09 00:00:00,1742.2494536901065,,1687.2378136863526,63.91328564048838
2026-07-10 00:00:00,1744.6953884606253,,1690.7693128497006,73.21670408274471
2026-07-11 00:00:00,1795.2394655119474,,1696.5800486765304,75.71763650855715
