timestamp,price,MA_50,MA_200,RSI_14
2025-08-28 00:00:00,111216.08479629169,,,
2025-08-29 00:00:00,112525.59740669793,,,
2025-08-30 00:00:00,108480.30666639366,,,
2025-08-31 00:00:00,108781.95727925687,,,
2025-09-01 00:00:00,108253.36092385623,,,
2025-09-02 00:00:00,109162.68557992298,,,
2025-09-03 00:00:00,111190.18209845416,,,
2025-09-04 00:00:00,111711.51977725117,,,
2025-09-05 00:00:00,110724.736377486,,,
2025-09-06 00:00:00,110662.18112628513,,,
2025-09-07 00:00:00,110209.1888247784,,,
2025-09-08 00:00:00,111131.9923868407,,,
2025-09-09 00:00:00,112025.12878118771,,,
2025-09-10 00:00:00,111547.43956434788,,,51.23279482796326
2025-09-11 00:00:00,113975.32489468766,,,58.69487174214392
2025-09-12 00:00:00,115503.16663193036,,,59.25551193100189
2025-09-13 00:00:00,116160.14344594491,,,80.24255549900194
2025-09-14 00:00:00,115970.58488443034,,,78.5603508094861
2025-09-15 00:00:00,115373.55555886829,,,78.13547578962198
2025-09-16 00:00:00,115397.25272727509,,,76.48998120349019
2025-09-17 00:00:00,116762.8496864193,,,75.08880760020934
2025-09-18 00:00:00,116455.94648225319,,,71.78051151185213
2025-09-19 00:00:00,117145.49508952006,,,80.30313739762349
2025-09-20 00:00:00,115655.81046441344,,,70.76984660818233
2025-09-21 00:00:00,115715.51536781774,,,73.6768998582588
2025-09-22 00:00:00,115304.47999407038,,,68.7674497288977
2025-09-23 00:00:00,112696.74101711863,,,52.617169166995254
2025-09-24 00:00:00,112022.16587861195,,,51.82197747271583
2025-09-25 00:00:00,113320.56908541008,,,47.248530855939975
2025-09-26 00:00:00,108963.53013595635,,112801.51643112594,27.797860699749307
2025-09-27 00:00:00,109710.20874667744,,112751.32056280547,28.234965173877924
2025-09-28 00:00:00,109654.81021075726,,112655.6276562741,28.492950257710575
2025-09-29 00:00:00,112142.57362752674,,112777.7032216452,40.25272347714451
2025-09-30 00:00:00,114309.15041119447,,112961.94299270981,47.09322321693921
2025-10-01 00:00:00,114024.22783550054,,113154.30522309795,42.235693870766106
2025-10-02 00:00:00,118503.24451752483,,113465.65718768467,54.69389656440217
2025-10-03 00:00:00,120611.71911591051,,113779.70842159989,57.461622635979374
2025-10-04 00:00:00,122250.15186842803,,114130.99615797245,64.10508420191866
2025-10-05 00:00:00,122380.93708463266,,114519.536181544,64.21390149900117
2025-10-06 00:00:00,123506.18520027678,,114947.66965067707,66.97298751085167
2025-10-07 00:00:00,124773.50823074432,,115433.14696420926,76.46018796351521
2025-10-08 00:00:00,121518.75593575071,,115779.37241583959,68.6934752751138
2025-10-09 00:00:00,123352.50487523204,,116156.95161897439,69.33967016642595
2025-10-10 00:00:00,121698.03066778315,,116495.30465575558,77.40535873871055
2025-10-11 00:00:00,113201.74064138904,,116469.51851397895,55.63455531721034
2025-10-12 00:00:00,110853.11663883903,,116314.51684754257,51.80053318960724
2025-10-13 00:00:00,115189.5714637257,,116282.16444813527,54.337348149760814
2025-10-14 00:00:00,115222.28302116522,,116257.22105269312,51.383900830881345
2025-10-15 00:00:00,113156.56943826913,,116183.3215153398,48.75236231191418
2025-10-16 00:00:00,110708.66960879423,114416.269041478,116027.03541139043,38.09659010972396
2025-10-17 00:00:00,108076.72862033188,114353.4819179588,115737.49804252086,31.15854978083175
2025-10-18 00:00:00,106443.61194984635,114231.84220882178,115403.75355810729,26.23725858246803
2025-10-19 00:00:00,107156.00337647724,114205.35614302344,115070.77050100587,27.5049889137304
2025-10-20 00:00:00,108621.134857428,114202.13969458686,114836.28131410635,28.22586180357395
2025-10-21 00:00:00,110608.5714932665,114249.24390597508,114666.04985162131,29.706793517524943
2025-10-22 00:00:00,108486.10262716639,114235.71224691994,114438.77060605782,30.702887706123875
2025-10-23 00:00:00,107618.4266715404,114164.27713838166,114269.49346120523,26.016828412460725
2025-10-24 00:00:00,110048.51827291629,114131.01710829498,114203.70520768204,32.65303081356872
2025-10-25 00:00:00,110997.80437129698,114136.47846817119,114126.27971721161,45.76669922028415
2025-10-26 00:00:00,111620.3093731354,114155.6410331082,114214.83902511759,51.57827252291592
2025-10-27 00:00:00,114476.01227508577,114240.97750211434,114373.69914273119,48.436827639779644
2025-10-28 00:00:00,114182.79442806762,114301.99354293887,114524.63194997488,47.74852164688675
2025-10-29 00:00:00,112950.34863259472,114320.49793996703,114551.55778347714,49.53660976481051
2025-10-30 00:00:00,110046.66925837283,114290.4825338475,114409.47507838307,48.542304778736494
2025-10-31 00:00:00,108240.76528725718,114175.79134169892,114216.69299344163,50.374837221556014
2025-11-01 00:00:00,109573.90555629115,114057.20612018614,113919.0483614005,57.25240351472866
2025-11-02 00:00:00,110014.13556776087,113934.28596262244,113565.79557646219,56.7064233035489
2025-11-03 00:00:00,110650.2092823146,113827.87845058013,113179.13082359172,54.95382931983127
2025-11-04 00:00:00,106521.08673825761,113650.82907416792,112650.46914537923,40.965504468564895
2025-11-05 00:00:00,101635.2740227234,113375.5895000769,111921.43877279412,36.506088468907734
