name,chains,category,total24h,total7d,total30d,change_1d,change_7d,change_1m
Uniswap V4,"['Ethereum', 'OP Mainnet', 'Base', 'Arbitrum', 'Polygon', 'Blast', 'Zora', 'World Chain', 'Ink', 'Soneium', 'Avalanche', 'BSC', 'Unichain', 'Monad', 'X Layer']",Dexs,753194193.0,5230874921.0,23381803274.0,-6.66,-30.52,-52.24
Aerodrome Slipstream,['Base'],Dexs,631385526.0,3569921309.0,12976714790.0,24.35,7.35,11.69
Uniswap V3,"['Ethereum', 'Arbitrum', 'OP Mainnet', 'Polygon', 'Celo', 'ZKsync Era', 'Sei', 'Taiko', 'Scroll', 'Rootstock', 'Filecoin', 'Boba', 'Moonbeam', 'Manta', 'Mantle', 'Linea', 'BSC', 'Avalanche', 'Base', 'Polygon zkEVM', 'Blast', 'Gnosis', 'BOB', 'Lisk', 'Corn', 'Unichain', 'Hemi', 'Saga', 'LightLink', 'GOAT', 'XDC', 'Lens', 'Telos', 'World Chain', 'Nibiru', 'Plasma', 'Monad', 'Etherlink', 'Sonic', 'X Layer', 'Zora']",Dexs,508054552.0,2937558628.0,13373774752.0,10.08,-23.15,-12.06
PancakeSwap AMM V3,"['BSC', 'Ethereum', 'Polygon zkEVM', 'ZKsync Era', 'Arbitrum', 'Linea', 'Base', 'opBNB', 'Solana', 'Monad']",Dexs,476274020.0,3257624978.0,15047159766.0,11.68,-29.73,-24.6
Hyperliquid Spot Orderbook,['Hyperliquid L1'],Dexs,336861088.0,1329501754.0,3629651776.0,68.06,61.94,142.75
BisonFi,['Solana'],Dexs,213669758.0,1242725593.0,6495066371.0,14.14,-3.67,
Kalshi,['Off Chain'],Prediction Market,208977490.0,1313838032.0,5845047604.0,2.05,11.27,29.64
Project X,['Hyperliquid L1'],Dexs,207681965.0,1025009697.0,2009506776.0,70.56,79.03,212.67
Orca DEX,"['Solana', 'Eclipse']",Dexs,192456758.0,1493545975.0,5778626698.0,18.85,-58.71,-25.6
Fluid DEX,"['Ethereum', 'Arbitrum', 'Polygon', 'Base', 'Plasma']",Dexs,182534295.0,1240256333.0,5888243029.0,-39.72,29.38,-77.65
Meteora DLMM,['Solana'],Dexs,155157166.0,838373688.0,3732478856.0,-1.84,-0.95,18.87
Raydium AMM,['Solana'],Dexs,141788025.0,934683860.0,4320140556.0,8.28,-13.6,-7.63
PancakeSwap Infinity,"['BSC', 'Base']",Dexs,135435262.0,942496888.0,4855887202.0,-25.93,-3.17,-55.54
